app,DisplayName,License,Whitelist,Blacklist
"VMware Fusion.app/Contents/Library/services/VMware_Fusion_Services_3_4","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/thnuclnt/thnuclnt_-pdir_/var/folders/bx/7k1mp6yx09zf17dtkz_99zbjgmy86k/T//vmware-jbjerke/thnuclnt-30539_-fg","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-bridge","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-dhcpd_-s_7_-cf_/Library/Preferences/VMware_Fusion/vmnet1/dhcpd.conf_-lf_/var/db/vmware/vmnet-dhcpd-vmnet1.leases_-pf_/var/run/vmnet-dhcpd-vmnet1.pid_vmnet1","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-dhcpd_-s_7_-cf_/Library/Preferences/VMware_Fusion/vmnet8/dhcpd.conf_-lf_/var/db/vmware/vmnet-dhcpd-vmnet8.leases_-pf_/var/run/vmnet-dhcpd-vmnet8.pid_vmnet8","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-natd_-s_7_-m_/Library/Preferences/VMware_Fusion/vmnet8/nat.mac_-c_/Library/Preferences/VMware_Fusion/vmnet8/nat.conf","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-netifup_-s_7_-d_/var/run/vmnet-netif-vmnet1.pid_vmnet1_vmnet1","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmnet-netifup_-s_7_-d_/var/run/vmnet-netif-vmnet8.pid_vmnet8_vmnet8","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/VMware_Fusion_Start_Menu.app/Contents/MacOS/VMware_Fusion_Start_Menu","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmware-usbarbitrator_--kext_/Applications/VMware_Fusion.app/Contents/Library/kexts/vmioplug.kext","VMWare Fusion",,,
"VMware Fusion.app/Contents/Library/vmware-vmx_-E_en_-s_vmx.stdio.keep=TRUE_-#_product=64;name=VMware_Fusion;version=7.1.0;buildnumber=2314774;licensename=VMware_Fusion_for_Mac_OS;licenseversion=7.0;_-@_duplex=3;msgs=ui_-D_4_/Users/jbjerke/Documents/Virtual_Machines/Windows_7_x64-Sainsburys.vmwarevm/Windows_7_x64-Sainsburys.vmx","VMWare Fusion",,,
