NAME                                                     VERSION               RELEASE               ARCH        VENDOR                          GROUP
Splunk                                                                         ?                     Intel       ?                               ?                   
Splunk                                                                         ?                     Intel       ?                               ?                   
Archive Utility                                          10.10                 ?                     Intel       ?                               ?                   
Microsoft Outlook                                        15.33                 ?                     Intel       ?                               ?                   
Captive Network Assistant                                4.0                   ?                     Intel       ?                               ?                   
Spotify                                                  1.0.65.320.gac7a8e02  ?                     Intel       ?                               ?                   
TextWrangler                                             5.5.2                 ?                     Intel       ?                               ?                   
iTunes                                                   12.7                  ?                     Intel       ?                               ?                   
Splunk SEAL Beta                                         5.0.2                 ?                     Intel       ?                               ?                   
Firefox                                                  56.0                  ?                     Intel       ?                               ?                   
VMware Fusion                                            10.0.1                ?                     Intel       ?                               ?                   
Splunk                                                   10.0.1                ?                     Intel       ?                               ?                   
Splunk SEAL Beta                                         5.0.2                 ?                     Intel       ?                               ?                   
OmniGraffle                                              7.4.2                 ?                     Intel       ?                               ?                   
Adobe Flash Player Install Manager                       27.0.0.159            ?                     Intel       ?                               ?                   
Plex                                                     2.12.10               ?                     Intel       ?                               ?                   
Plex                                                     2.12.10               ?                     Intel       ?                               ?                   
WavesLiteApp                                             0.5.6                 ?                     Intel       ?                               ?                   
WavesLiteApp                                             0.5.6                 ?                     Intel       ?                               ?                   
Console                                                  1.0                   ?                     Intel       ?                               ?                   
ColorSync Utility                                        4.12.0                ?                     Intel       ?                               ?                   
Boot Camp Assistant                                      6.1.0                 ?                     Intel       ?                               ?                   
Bluetooth File Exchange                                  5.0.5                 ?                     Intel       ?                               ?                   
Audio MIDI Setup                                         3.1                   ?                     Intel       ?                               ?                   
AirPort Utility                                          6.3.7                 ?                     Intel       ?                               ?                   
Activity Monitor                                         10.12                 ?                     Intel       ?                               ?                   
Time Machine                                             1.3                   ?                     Intel       ?                               ?                   
TextEdit                                                 1.12                  ?                     Intel       ?                               ?                   
System Preferences                                       14.0                  ?                     Intel       ?                               ?                   
Stickies                                                 10.0                  ?                     Intel       ?                               ?                   
Siri                                                     1.0                   ?                     Intel       ?                               ?                   
Reminders                                                4.0                   ?                     Intel       ?                               ?                   
QuickTime Player                                         10.4                  ?                     Intel       ?                               ?                   
Preview                                                  9.0                   ?                     Intel       ?                               ?                   
Photos                                                   2.0                   ?                     Intel       ?                               ?                   
Photo Booth                                              8.0                   ?                     Intel       ?                               ?                   
Notes                                                    4.4                   ?                     Intel       ?                               ?                   
Mission Control                                          1.2                   ?                     Intel       ?                               ?                   
Messages                                                 10.0                  ?                     Intel       ?                               ?                   
Maps                                                     2.0                   ?                     Intel       ?                               ?                   
Mail                                                     10.3                  ?                     Intel       ?                               ?                   
Launchpad                                                1.0                   ?                     Intel       ?                               ?                   
Image Capture                                            6.8                   ?                     Intel       ?                               ?                   
Font Book                                                7.0                   ?                     Intel       ?                               ?                   
FaceTime                                                 3.0                   ?                     Intel       ?                               ?                   
Dictionary                                               2.2.1                 ?                     Intel       ?                               ?                   
Dashboard                                                1.8                   ?                     Intel       ?                               ?                   
DVD Player                                               5.8                   ?                     Intel       ?                               ?                   
Contacts                                                 10.0                  ?                     Intel       ?                               ?                   
Chess                                                    3.14                  ?                     Intel       ?                               ?                   
Calendar                                                 9.0                   ?                     Intel       ?                               ?                   
Calculator                                               10.8                  ?                     Intel       ?                               ?                   
Automator                                                2.7                   ?                     Intel       ?                               ?                   
App Store                                                2.2.1                 ?                     Intel       ?                               ?                   
VietnameseIM                                             1.0                   ?                     Intel       ?                               ?                   
Switch Control                                           2.0                   ?                     Intel       ?                               ?                   
KoreanIM                                                 1.0                   ?                     Intel       ?                               ?                   
JapaneseIM                                               1.0                   ?                     Intel       ?                               ?                   
CharacterPalette                                         2.0.1                 ?                     Intel       ?                               ?                   
Setup Assistant                                          10.10                 ?                     Intel       ?                               ?                   
ARDAgent                                                 3.9.3                 ?                     Intel       ?                               ?                   
Photo Library Migration Utility                          2.0                   ?                     Intel       ?                               ?                   
Notification Center                                      1.0                   ?                     Intel       ?                               ?                   
EPSON Scanner                                            5.7.24                ?                     Intel       ?                               ?                   
VoiceOver Quickstart                                     7.0                   ?                     Intel       ?                               ?                   
Splunk                                                   7.0                   ?                     Intel       ?                               ?                   
Network                                                  1.0                   ?                     Intel       ?                               ?                   
iCloud Drive                                             1.0                   ?                     Intel       ?                               ?                   
Computer                                                 1.0                   ?                     Intel       ?                               ?                   
All My Files                                             1.0                   ?                     Intel       ?                               ?                   
AirDrop                                                  1.0                   ?                     Intel       ?                               ?                   
Storage Management                                       1.0                   ?                     Intel       ?                               ?                   
Screen Sharing                                           1.7.1                 ?                     Intel       ?                               ?                   
RAID Utility                                             4.0                   ?                     Intel       ?                               ?                   
Network Utility                                          1.9.1                 ?                     Intel       ?                               ?                   
Folder Actions Setup                                     1.2                   ?                     Intel       ?                               ?                   
Feedback Assistant                                       4.5                   ?                     Intel       ?                               ?                   
Directory Utility                                        5.0                   ?                     Intel       ?                               ?                   
HelpViewer                                               5.3.4                 ?                     Intel       ?                               ?                   
Finder                                                   10.12.5               ?                     Intel       ?                               ?                   
Wireless Diagnostics                                     7.0                   ?                     Intel       ?                               ?                   
System Image Utility                                     10.12                 ?                     Intel       ?                               ?                   
SystemUIServer                                           1.7                   ?                     Intel       ?                               ?                   
Siri                                                     111.3.13              ?                     Intel       ?                               ?                   
loginwindow                                              9.0                   ?                     Intel       ?                               ?                   
Network Setup Assistant                                  10.8.0                ?                     Intel       ?                               ?                   
Network Diagnostics                                      1.5                   ?                     Intel       ?                               ?                   
ManagedClient                                            9.0                   ?                     Intel       ?                               ?                   
Installer                                                6.2.0                 ?                     Intel       ?                               ?                   
Dock                                                     1.8                   ?                     Intel       ?                               ?                   
DiskImageMounter                                         444.50.16             ?                     Intel       ?                               ?                   
CoreServicesUIAgent                                      168.3                 ?                     Intel       ?                               ?                   
ControlStrip                                             1.0                   ?                     Intel       ?                               ?                   
Certificate Assistant                                    5.0                   ?                     Intel       ?                               ?                   
AddPrinter                                               12.4                  ?                     Intel       ?                               ?                   
About This Mac                                           1.0                   ?                     Intel       ?                               ?                   
Evernote                                                 6.12.3                ?                     Intel       ?                               ?                   
Splunk SEAL                                              0.4.4.5               ?                     Intel       ?                               ?                   
OneDrive                                                 17.3.6967             ?                     Intel       ?                               ?                   
Slack                                                    2.8.0                 ?                     Intel       ?                               ?                   
Steam                                                    1.5                   ?                     Intel       ?                               ?                   
Box Sync                                                 4.0.7848              ?                     Intel       ?                               ?                   
Splunk                                                   4.0.7848              ?                     Intel       ?                               ?                   
HipChat                                                  4.30.0                ?                     Intel       ?                               ?                   
Gliffy Diagrams                                          1.0.31                ?                     Intel       ?                               ?                   
Install Spotify                                          1.0                   ?                     Intel       ?                               ?                   
Safari                                                   11.0                  ?                     Intel       ?                               ?                   
Splunk                                                   11.0                  ?                     Intel       ?                               ?                   
Uninstall                                                32.2.0                ?                     Intel       ?                               ?                   
WebExPluginAgent                                         32.2.0                ?                     Intel       ?                               ?                   
WebEx Productivity Tools                                 32.2.0                ?                     Intel       ?                               ?                   
Paddington 3S West Ricoh                                 12.4                  ?                     Intel       ?                               ?                   
Microsoft OneNote                                        15.33                 ?                     Intel       ?                               ?                   
