USER               PID   PSR   pctCPU       CPUTIME  pctMEM     RSZ_KB     VSZ_KB   TTY      S       ELAPSED  COMMAND             ARGS
root                 1     ?      0.1       7:07.02     0.1       9792    2480844   ??       U   03-14:49:16  launchd             <noArgs>
root                49     ?      0.0       0:42.22     0.0       1036    2474008   ??       S   03-14:49:15  syslogd             <noArgs>
root                50     ?      0.0       8:13.13     0.0       3732    2506464   ??       S   03-14:49:15  UserEventAgent      (System)
root                52     ?      0.0       4:58.51     0.0        952    2499964   ??       S   03-14:49:15  kextd               <noArgs>
root                53     ?      0.2       3:19.73     0.0       3184    2479664   ??       S   03-14:49:15  fseventsd           <noArgs>
root                55     ?      0.3     201:16.96     0.3      21676    3836252   ??       U   03-14:49:15  CrashPlanService    -Dapp=CrashPlanService_-Xmn10m_-Xms15m_-Xmx1024m_-DappBaseName=CrashPlan_-Djava.awt.headless=true_-Dfile.encoding=UTF-8_-Dsun.net.inetaddr.ttl=300_-Dnetworkaddress.cache.ttl=300_-Dsun.net.inetaddr.negative.ttl=0_-Dnetworkaddress.cache.negative.ttl=0_-DCP_USER_NAME=_-DCP_USER_HOME=_-cp_lib/com.backup42.desktop.jar:lang_com.backup42.service.CPService_CP_USER_NAME=_CP_USER_HOME=
root                56     ?      0.0       0:09.16     0.0       1668    2500928   ??       S   03-14:49:15  jamf                launchDaemon_-enforceRestrictions_-monitorNetworkStateChanges
root                57     ?      0.0       0:04.75     0.0        412    2470064   ??       S   03-14:49:15  thermald            <noArgs>
root                59     ?      0.0       1:10.57     0.0       2500    2500420   ??       S   03-14:49:15  configd             <noArgs>
appleevents         60     ?      0.0       0:01.56     0.0        904    2496072   ??       S   03-14:49:15  appleeventsd        --server
root                61     ?      0.0       0:37.07     0.0       1484    2494844   ??       S   03-14:49:15  powerd              <noArgs>
root                65     ?      0.0       0:44.36     0.0       1428    2511624   ??       S   03-14:49:15  airportd            <noArgs>
root                67     ?      0.0       0:01.38     0.0        460    2472496   ??       S   03-14:49:15  warmd               <noArgs>
root                68     ?      0.7      34:51.06     0.1      11592    2623220   ??       S   03-14:49:15  mds                 <noArgs>
SonosDMS            72     ?      0.0       0:00.32     0.0        140    2494276   ??       S   03-14:49:15  Application         Support/Sonos/SonosLibraryServer
root                73     ?      0.0       0:00.01     0.0          4    2459696   ??       S   03-14:49:15  Application         Support/Seagate/TBLoopDriveParams
root                76     ?      0.0       0:04.24     0.0        296    2494736   ??       S   03-14:49:15  diskarbitrationd    <noArgs>
root                78     ?      0.0       0:05.16     0.0       1776    2497316   ??       S   03-14:49:15  mdmclient           daemon
root                83     ?      0.0       1:13.73     0.1       7152    2518072   ??       S   03-14:49:15  opendirectoryd      <noArgs>
root                84     ?      0.0       0:07.82     0.0       1140    2473064   ??       S   03-14:49:15  wirelessproxd       <noArgs>
root                86     ?      0.0       0:07.82     0.0       3036    2499908   ??       S   03-14:49:15  apsd                <noArgs>
root                87     ?      0.1       3:03.56     0.0       2848    2502136   ??       S   03-14:49:15  launchservicesd     <noArgs>
root                89     ?      0.0       0:27.46     0.0       1156    2496024   ??       S   03-14:49:15  securityd           -i
locationd           91     ?      0.0       0:06.10     0.0       1056    2507176   ??       S   03-14:49:15  locationd           <noArgs>
root                95     ?      0.0       0:00.29     0.0         96    2469524   ??       S   03-14:49:15  autofsd             <noArgs>
root                96     ?      0.0       0:39.13     0.0       2172    2497108   ??       S   03-14:49:15  blued               <noArgs>
root                98     ?      0.0       0:00.40     0.0        204    2469844   ??       S   03-14:49:15  kdc                 <noArgs>
mdnsresponder      102     ?      0.0       0:43.37     0.0       2012    2496184   ??       S   03-14:49:15  mDNSResponder       <noArgs>
root               104     ?      0.0       0:00.07     0.0         56    2469260   ??       S   03-14:49:15  stackshot           -t_-O
root               105     ?      0.0       0:02.06     0.0       1356    2504192   ??       S   03-14:49:15  revisiond           <noArgs>
root               106     ?      0.0       0:00.22     0.0        192    2470972   ??       S   03-14:49:15  logind              <noArgs>
root               107     ?      0.0       0:19.90     0.1       7352    2569632   ??       S   03-14:49:15  loginwindow         console
root               108     ?      0.0       0:00.04     0.0         52    2461048   ??       S   03-14:49:15  KernelEventAgent    <noArgs>
root               112     ?      0.0       5:31.18     0.0       1300    2471564   ??       S   03-14:49:15  hidd                <noArgs>
root               113     ?      0.3       1:09.54     0.0       1912    2496348   ??       S   03-14:49:15  taskgated           -s
root               114     ?      0.4       0:59.38     0.0       1616    2471864   ??       S   03-14:49:15  notifyd             <noArgs>
distnote           117     ?      0.0       0:02.97     0.0         92    2470788   ??       S   03-14:49:15  distnoted           daemon
root               151     ?      0.0       0:06.58     0.0        700    2497452   ??       S   03-14:49:15  authd               <noArgs>
root               158     ?      0.0       0:28.94     0.0       3308    2552352   ??       S   03-14:49:15  coreservicesd       <noArgs>
root               190     ?      0.0       0:00.25     0.0        456    2471660   ??       S   03-14:49:14  com.apple.ctkpcscd  <noArgs>
root               213     ?      9.1     124:01.50     0.3      27852    3874044   ??       R   03-14:49:14  WindowServer        -daemon
