   PID  USER              PR    NI    VIRT     RES     SHR   S  pctCPU  pctMEM       cpuTIME  COMMAND
   700  root               ?     ?     N/A     98M       ?   ?    88.6       ?      30:13.58  SymDaemon
 30539  root               ?     ?     N/A     45M       ?   ?    68.6       ?      08:56.43  vmware-vmx
 31689  root               ?     ?     N/A     73M       ?   ?    14.7       ?      01:37.90  splunkd
   213  _windowserver      ?     ?     N/A     28M       ?   ?    12.9       ?      53:16.93  WindowServer
     0  root               ?     ?     N/A    934M       ?   ?     7.5       ?      02:31:12  kernel_task
 21545  root               ?     ?     N/A    696K       ?   ?     6.2       ?      00:01.70  vmnet-natd
 21317  jbjerke            ?     ?     N/A     46M       ?   ?     5.8       ?      03:00.77  Microsoft
 33245  root               ?     ?     N/A   2296K       ?   ?     3.0       ?      00:00.27  top
 18488  jbjerke            ?     ?     N/A    104M       ?   ?     2.5       ?      13:19.90  firefox
 10288  jbjerke            ?     ?     N/A     15M       ?   ?     1.9       ?      00:15.92  iTerm
   309  root               ?     ?     N/A     24M       ?   ?     1.5       ?      22:24.17  mds_stores
   979  jbjerke            ?     ?     N/A   4120K       ?   ?     1.4       ?      18:35.96  WebEx
 22658  jbjerke            ?     ?     N/A     24M       ?   ?     1.3       ?      00:52.19  HipChat
   844  jbjerke            ?     ?     N/A   5144K       ?   ?     1.2       ?      00:20.73  Dock
   957  jbjerke            ?     ?     N/A     66M       ?   ?     1.1       ?      14:12.37  Google
  1184  jbjerke            ?     ?     N/A     12M       ?   ?     1.0       ?      02:02.58  Microsoft
  6462  jbjerke            ?     ?     N/A    124M       ?   ?     0.8       ?      35:24.62  AptanaStudio3
 32934  jbjerke            ?     ?     N/A     62M       ?   ?     0.6       ?      00:05.16  Google
    68  root               ?     ?     N/A     16M       ?   ?     0.6       ?      22:16.36  mds
 31748  root               ?     ?     N/A   2024K       ?   ?     0.6       ?      00:02.01  splunkd
   112  root               ?     ?     N/A    964K       ?   ?     0.5       ?      02:27.80  hidd
   847  jbjerke            ?     ?     N/A     13M       ?   ?     0.5       ?      02:14.05  Finder
 21386  jbjerke            ?     ?     N/A    267M       ?   ?     0.5       ?      23:01.97  Google
 18597  jbjerke            ?     ?     N/A     18M       ?   ?     0.5       ?      03:08.72  plugin-container
 31691  root               ?     ?     N/A   7304K       ?   ?     0.4       ?      00:08.60  mongod
    55  root               ?     ?     N/A     85M       ?   ?     0.4       ?      02:22:33  CrashPlanService
 21428  jbjerke            ?     ?     N/A     22M       ?   ?     0.4       ?      00:37.60  VMware
   973  jbjerke            ?     ?     N/A   5464K       ?   ?     0.3       ?      06:25.63  CrashPlan
    53  root               ?     ?     N/A   3368K       ?   ?     0.2       ?      01:06.16  fseventsd
  5534  jbjerke            ?     ?     N/A     76M       ?   ?     0.2       ?      07:23.83  Google
    83  root               ?     ?     N/A   4252K       ?   ?     0.2       ?      00:50.12  opendirectoryd
 31760  root               ?     ?     N/A     29M       ?   ?     0.1       ?      00:13.11  python2.7
 10281  jbjerke            ?     ?     N/A   3648K       ?   ?     0.1       ?      02:43.52  Microsoft
    59  root               ?     ?     N/A   1948K       ?   ?     0.1       ?      00:47.69  configd
 33244  jbjerke            ?     ?     N/A    460K       ?   ?     0.1       ?      00:00.00  awk
  7227  jbjerke            ?     ?     N/A   3852K       ?   ?     0.1       ?      01:46.01  Microsoft
